Scenario,Arch,Balancing,Val F1,Val MCC,Test PR-AUC,GNNExp. Spearman
1:1,GAT,class_weighting,0.31497927767910006,0.29545745296523995,0.007177251016719425,0.4046775307083165
1:1,GraphSAGE,class_weighting,0.34339080459770116,0.3833747389726786,0.024462902447815973,0.2730525055100897
1:1,GraphSAGE,none,0.36227917392386166,0.4019572261011342,0.019830232425527845,0.589710127227337
1:10,GAT,focal_loss,0.32610939112487103,0.32051744815803923,0.054458321962626385,0.6540558155922159
1:10,GAT,none,0.45949074074074076,0.4435924711606008,0.015686744332646756,0.7164289618662288
1:10,GCN,class_weighting,0.31480865224625626,0.3103491941903032,0.008107168012711684,0.4841940359329098
1:10,GraphSAGE,class_weighting,0.47851129818342936,0.4672135775930127,0.026664633525756622,0.4198368065112023
1:10,GraphSAGE,focal_loss,0.5294650951949229,0.5195609680003539,0.022483753437701717,0.3009815909773102
1:10,GraphSAGE,none,0.47135135135135137,0.4538146851306274,0.008216046423151399,0.6947060870602755
1:10,TAGCN,focal_loss,0.3077485380116959,0.2954504024270629,0.006727154041651654,0.6311641688752824
1:10,TAGCN,none,0.37735849056603776,0.36790189769567555,0.009600539380980782,0.3487313694627288
1:100,GraphSAGE,class_weighting,0.4379774463441251,0.44093717098246515,0.018565120988745014,0.2388754813077291
1:30_native,GAT,focal_loss,0.32323232323232326,0.3028884139917614,0.008280287849514187,0.2759137445941818
1:30_native,GAT,none,0.3070223189983669,0.2841575770120601,0.018402918428907934,0.2911948195361022
1:30_native,GraphSAGE,class_weighting,0.5262163438828531,0.5136345764104867,0.013672993558120317,0.120949464038069
1:30_native,GraphSAGE,focal_loss,0.5254437869822485,0.512990712677762,0.012074613028225257,0.0153980361293955
1:30_native,GraphSAGE,none,0.35931091058244463,0.4050285393602797,0.017314126977283382,0.3624281239601641
1:30_native,TAGCN,focal_loss,0.4302405498281787,0.4315874844584816,0.011342911157051654,0.0594632028030102
1:50,GAT,class_weighting,0.3150087260034904,0.29437882984497316,0.006015327598040259,0.6164135306206528
1:50,GAT,focal_loss,0.4198596869940637,0.4005847402246857,0.011220313691598269,0.7818594915578364
1:50,GraphSAGE,class_weighting,0.5165919282511211,0.5067140083608808,0.02468919348131162,0.3831956488762438
1:50,GraphSAGE,focal_loss,0.5226312613156306,0.5115165423271189,0.015663232506317216,0.394732867254872
1:50,TAGCN,focal_loss,0.3096942094990241,0.29709777668162024,0.00894046990236838,0.7893761497128561
